datetime	Unnamed: 0	Unnamed: 0.1	city	country	nb_detected
21-03-2020_02-24-38_PM	85.0	0.0	Goteborg	Sweden	0
21-03-2020_02-24-41_PM	86.0	0.0	Goteborg	Sweden	6
21-03-2020_02-24-44_PM	87.0	0.0	Goteborg	Sweden	0
21-03-2020_02-24-46_PM	88.0	0.0	Goteborg	Sweden	1
21-03-2020_02-24-49_PM	89.0	0.0	Goteborg	Sweden	0
21-03-2020_02-24-51_PM	90.0	0.0	Goteborg	Sweden	0
21-03-2020_02-24-55_PM	91.0	0.0	Goteborg	Sweden	0
21-03-2020_02-24-57_PM	92.0	0.0	Goteborg	Sweden	0
21-03-2020_02-25-00_PM	93.0	0.0	Goteborg	Sweden	0
21-03-2020_02-25-03_PM	94.0	0.0	Goteborg	Sweden	10
21-03-2020_02-25-06_PM	95.0	0.0	Goteborg	Sweden	0
21-03-2020_02-25-09_PM	96.0	0.0	Goteborg	Sweden	1
21-03-2020_02-25-14_PM	97.0	0.0	Goteborg	Sweden	0
21-03-2020_02-25-20_PM	98.0	0.0	Goteborg	Sweden	1
21-03-2020_02-25-23_PM	99.0	0.0	Overtornea 	Sweden	0
21-03-2020_02-25-23_PM	100.0	0.0	Overtornea 	Sweden	0
21-03-2020_02-25-34_PM	101.0	0.0	Goteborg	Sweden	3
21-03-2020_02-25-38_PM	102.0	0.0	Goteborg	Sweden	0
21-03-2020_02-25-42_PM	103.0	0.0	Goteborg	Sweden	2
21-03-2020_02-25-46_PM	104.0	0.0	Goteborg	Sweden	1
21-03-2020_02-25-50_PM	105.0	0.0	Goteborg	Sweden	0
21-03-2020_02-25-54_PM	106.0	0.0	Goteborg	Sweden	0
21-03-2020_02-25-58_PM	107.0	0.0	Goteborg	Sweden	0
21-03-2020_02-26-02_PM	108.0	0.0	Goteborg	Sweden	1
21-03-2020_02-26-06_PM	109.0	0.0	Overtornea 	Sweden	0
21-03-2020_02-27-05_PM	110.0	0.0	Stockholm	Sweden	3
21-03-2020_02-27-10_PM	111.0	0.0	Stockholm	Sweden	0
21-03-2020_02-27-14_PM	112.0	0.0	Stockholm	Sweden	0
21-03-2020_02-27-19_PM	113.0	0.0	Stockholm	Sweden	0
21-03-2020_02-27-24_PM	114.0	0.0	Goteborg	Sweden	2
21-03-2020_02-27-29_PM	115.0	0.0	Goteborg	Sweden	1
21-03-2020_02-27-33_PM	116.0	0.0	Goteborg	Sweden	4
21-03-2020_02-27-37_PM	117.0	0.0	Goteborg	Sweden	1
21-03-2020_02-27-41_PM	118.0	0.0	Goteborg	Sweden	2
21-03-2020_02-27-45_PM	119.0	0.0	Goteborg	Sweden	12
21-03-2020_02-27-49_PM	120.0	0.0	Goteborg	Sweden	3
21-03-2020_02-27-52_PM	121.0	0.0	Goteborg	Sweden	0
21-03-2020_02-27-56_PM	122.0	0.0	Goteborg	Sweden	3
21-03-2020_02-28-00_PM	123.0	0.0	Goteborg	Sweden	2
21-03-2020_02-28-04_PM	124.0	0.0	Goteborg	Sweden	0
21-03-2020_02-28-08_PM	125.0	0.0	Goteborg	Sweden	1
21-03-2020_02-28-11_PM	126.0	0.0	Goteborg	Sweden	2
21-03-2020_02-28-15_PM	127.0	0.0	Goteborg	Sweden	0
21-03-2020_02-28-19_PM	128.0	0.0	Goteborg	Sweden	0
21-03-2020_02-28-23_PM	129.0	0.0	Goteborg	Sweden	1
21-03-2020_02-28-27_PM	130.0	0.0	Goteborg	Sweden	1
21-03-2020_02-28-31_PM	131.0	0.0	Overtornea 	Sweden	0
21-03-2020_02-30-05_PM	132.0	0.0	Stockholm	Sweden	20
21-03-2020_02-30-10_PM	133.0	0.0	Stockholm	Sweden	0
21-03-2020_02-30-14_PM	134.0	0.0	Stockholm	Sweden	0
21-03-2020_02-30-18_PM	135.0	0.0	Stockholm	Sweden	0
21-03-2020_02-30-22_PM	136.0	0.0	Goteborg	Sweden	3
21-03-2020_02-30-25_PM	137.0	0.0	Goteborg	Sweden	0
21-03-2020_02-30-29_PM	138.0	0.0	Goteborg	Sweden	9
21-03-2020_02-30-34_PM	139.0	0.0	Goteborg	Sweden	5
21-03-2020_02-30-38_PM	140.0	0.0	Goteborg	Sweden	2
21-03-2020_02-30-42_PM	141.0	0.0	Goteborg	Sweden	5
21-03-2020_02-30-47_PM	142.0	0.0	Goteborg	Sweden	6
21-03-2020_02-30-51_PM	143.0	0.0	Goteborg	Sweden	0
21-03-2020_02-30-56_PM	144.0	0.0	Goteborg	Sweden	6
21-03-2020_02-31-01_PM	145.0	0.0	Goteborg	Sweden	0
21-03-2020_02-31-06_PM	146.0	0.0	Goteborg	Sweden	0
21-03-2020_02-31-10_PM	147.0	0.0	Goteborg	Sweden	2
21-03-2020_02-31-14_PM	148.0	0.0	Goteborg	Sweden	1
21-03-2020_02-31-18_PM	149.0	0.0	Goteborg	Sweden	0
21-03-2020_02-31-21_PM	150.0	0.0	Goteborg	Sweden	0
21-03-2020_02-31-25_PM	151.0	0.0	Goteborg	Sweden	0
21-03-2020_02-31-29_PM	152.0	0.0	Goteborg	Sweden	4
21-03-2020_02-31-32_PM	153.0	0.0	Overtornea 	Sweden	0
21-03-2020_02-33-06_PM	154.0	0.0	Stockholm	Sweden	5
21-03-2020_02-33-11_PM	155.0	0.0	Stockholm	Sweden	0
21-03-2020_02-33-15_PM	156.0	0.0	Stockholm	Sweden	0
21-03-2020_02-33-20_PM	157.0	0.0	Stockholm	Sweden	0
21-03-2020_02-33-25_PM	158.0	0.0	Goteborg	Sweden	8
21-03-2020_02-33-29_PM	159.0	0.0	Goteborg	Sweden	0
21-03-2020_02-33-34_PM	160.0	0.0	Goteborg	Sweden	6
21-03-2020_02-33-38_PM	161.0	0.0	Goteborg	Sweden	4
21-03-2020_02-33-42_PM	162.0	0.0	Goteborg	Sweden	1
21-03-2020_02-33-45_PM	163.0	0.0	Goteborg	Sweden	10
21-03-2020_02-33-51_PM	164.0	0.0	Goteborg	Sweden	1
